"1 (n=22) Mean +/- SD";"4 (n=78) Mean +/- SD";"1 (n=22) Median (IQR)";"4 (n=78) Median (IQR)";"Pval_Shapiro";"Pval_Levene";"Pval_Bartlett";"Pval_ANOVA*";"4 - 1 (Tukey*)"
"X_284949.txt.gz1.tbl.gz";"0.090136 +/- 0.043491";"0.079659 +/- 0.048067";"0.0661 (0.0661;0.1322)";"0.0661 (0.0661;0.1322)";1.1437e-10;0.87787;0.57613;0.3593;0.3593
"X_285163.txt.gz1.tbl.gz";"-0.054711 +/- 0.044989";"-0.038985 +/- 0.039845";"-0.06335 (-0.06335;0)";"-0.06335 (-0.06335;0)";2.677e-11;0.75254;0.47932;0.11531;0.11531
"X_287173.txt.gz1.tbl.gz";"0.061682 +/- 0.046393";"0.090467 +/- 0.048494";"0.06785 (0.016962;0.06785)";"0.06785 (0.06785;0.1357)";1.0932e-10;0.18054;0.80251;0.014785;0.014785
"X_287515.txt.gz1.tbl.gz";"0.36121 +/- 0.078313";"0.38337 +/- 0.053464";"0.3987 (0.3987;0.3987)";"0.3987 (0.3987;0.3987)";4.9113e-19;0.12731;0.020243;0.12731;0.12731
"X_288849.txt.gz1.tbl.gz";"-0.027356 +/- 0.03949";"-0.033321 +/- 0.037893";"-0.028412 (-0.042875;0.0019354)";"-0.030071 (-0.0619;-0.0096375)";0.46222;0.85759;0.81264;0.51974;0.51974
"X_288937.txt.gz1.tbl.gz";"0.038818 +/- 0.043524";"0.027372 +/- 0.044585";"0 (0;0.0854)";"0 (0;0.0854)";1.8032e-14;0.28774;0.89134;0.28774;0.28774
"X_289059.txt.gz1.tbl.gz";"-0.042545 +/- 0.052337";"-0.049333 +/- 0.066464";"0 (-0.104;0)";"0 (-0.104;0)";3.8886e-13;0.65989;0.19412;0.65989;0.65989
"X_29435.txt.gz1.tbl.gz";"0.091927 +/- 0.037655";"0.075354 +/- 0.045617";"0.0948 (0.0632;0.1264)";"0.0632 (0.0632;0.1264)";1.0066e-10;0.95776;0.29264;0.12217;0.12217
"X_294525.txt.gz1.tbl.gz";"-0.095203 +/- 0.034105";"-0.091104 +/- 0.035061";"-0.12365 (-0.12365;-0.064538)";"-0.085958 (-0.12365;-0.061825)";3.7826e-11;0.48704;0.87551;0.62727;0.62727
"X_294858.txt.gz1.tbl.gz";"0.049636 +/- 0.043072";"0.060375 +/- 0.043971";"0.06825 (0;0.06825)";"0.06825 (0;0.06825)";7.5841e-11;0.79483;0.90659;0.31209;0.31209
"X_295275.txt.gz1.tbl.gz";"-0.051591 +/- 0.04274";"-0.042353 +/- 0.032024";"-0.04055 (-0.0811;-0.04055)";"-0.04055 (-0.060725;-0.010138)";6.8869e-08;0.25768;0.083517;0.27144;0.27144
"X_295331.txt.gz1.tbl.gz";"-0.051577 +/- 0.047097";"-0.054745 +/- 0.052966";"-0.08105 (-0.08105;0)";"-0.08105 (-0.08105;0)";2.6959e-11;0.53647;0.51318;0.80041;0.80041
"X_296066.txt.gz1.tbl.gz";"-0.19332 +/- 0.06528";"-0.20043 +/- 0.053808";"-0.2299 (-0.2299;-0.14369)";"-0.2299 (-0.2299;-0.2299)";1.0712e-15;0.60358;0.25409;0.60358;0.60358
"X_29611.txt.gz1.tbl.gz";"0.020302 +/- 0.043877";"0.02805 +/- 0.062948";"0.0106 (-0.00025;0.02145)";"0.0106 (-5e-04;0.02145)";1.4632e-12;0.38216;0.055812;0.59007;0.59007
"X_297060.txt.gz1.tbl.gz";"0.13631 +/- 0.038639";"0.14236 +/- 0.035016";"0.1621 (0.08105;0.1621)";"0.1621 (0.1621;0.1621)";4.6312e-16;0.48614;0.56776;0.48614;0.48614
"X_297257.txt.gz1.tbl.gz";"-0.052725 +/- 0.054264";"-0.055571 +/- 0.043097";"-0.06105 (-0.1221;0)";"-0.06105 (-0.06105;0)";3.7008e-10;0.022766;0.17123;0.79704;0.79704
"X_297315.txt.gz1.tbl.gz";"-0.092132 +/- 0.063351";"-0.095907 +/- 0.08791";"-0.07555 (-0.16645;-0.037775)";"-0.056663 (-0.16645;-0.037775)";1.2345e-07;0.22544;0.080444;0.85138;0.85138
